Fund Name,AUM,5 Year return,Logo URL
Tata Nifty Midcap 150 Momentum 50 Index Fund Direct Growth,949.36908945,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
HDFC Large Cap Fund Direct Growth,37659.179,22.32,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
SBI Liquid Fund Direct Plan Growth,63824.385,5.69,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
UTI Gold ETF FoF Direct Growth,357.7564,NA,https://assets-netstorage.groww.in/mf-assets/logos/uti_groww.png
Motilal Oswal ELSS Tax Saver Fund Direct Growth,4223.4029,27.37,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Groww Nifty India Defence ETF FoF Direct Growth,72.08244732,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
SBI Flexicap Fund Direct Growth,22010.8362,19.41,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
SBI Nifty Smallcap 250 Index Fund Direct Growth,1466.0661,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Mirae Asset Gold Silver Passive FoF Direct Growth,66.7299,NA,https://assets-netstorage.groww.in/mf-assets/logos/mirae_groww.png
Bank of India Small Cap Fund Direct Growth,1879.2255,29.24,https://assets-netstorage.groww.in/mf-assets/logos/boi_groww.png
Tata Arbitrage Fund Direct Growth,18596.31734486,6.44,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Aditya Birla Sun Life Medium Term Plan Direct Growth,2829.4054,12.7,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
HDFC Manufacturing Fund Direct Growth,11537.3115,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Motilal Oswal Active Momentum Fund Direct Growth,140.6785,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
ICICI Prudential Liquid Fund Direct Plan Growth,49438.5032998,5.71,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
PGIM India Midcap Fund Direct Growth,11400.2944,25.09,https://assets-netstorage.groww.in/mf-assets/logos/dhfl_groww.png
Mirae Asset Small Cap Fund Direct Growth,2164.92,NA,https://assets-netstorage.groww.in/mf-assets/logos/mirae_groww.png
Axis Liquid Direct Fund Growth,37122.1088,5.75,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
Groww Nifty India Railways PSU Index Fund Direct Growth,40.69892142,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
